# Microsoft Start
65.55.163.79	account.live.com
68.142.196.57	c5.ah.yahoo.com
68.142.214.43	farm1.staticflickr.com
68.142.214.43	mud.farm1.staticflickr.com
68.142.250.161	l.yimg.com
69.147.76.173	flickr.com
69.147.90.159	farm2.staticflickr.com
69.147.90.159	sp1.farm2.staticflickr.com
69.147.90.215	sp1.farm3.staticflickr.com
76.13.18.77	ac4.farm4.staticflickr.com
76.13.18.77	farm4.staticflickr.com
76.13.18.79	farm5.staticflickr.com
77.238.160.184	farm3.staticflickr.com
77.238.184.150	ying.com
96.6.93.227	s.yimg.com
98.136.166.37	overview.mail.yahoo.com
98.136.171.208	farm6.staticflickr.com
98.136.171.208	gq1.farm6.staticflickr.com
98.136.43.76	geo.yahoo.com
98.137.205.236	bf1.farm3.staticflickr.com
98.137.88.88	d.yimg.com
98.138.250.88	farm7.staticflickr.com
98.138.250.88	ne1.farm7.staticflickr.com
98.138.253.109	yahoo.com
98.138.47.63	y.analytics.yahoo.com
98.139.21.45	bf1.farm6.staticflickr.com
98.139.235.135	bf1.farm7.staticflickr.com
# Yahoo End

# DuckDuckGo Start
46.51.216.187	duckduckgo.com
46.51.216.187	www.duckduckgo.com
46.51.216.187	search.duckduckgo.com
46.51.197.89	ac.duckduckgo.com
46.51.218.82	icons.duckduckgo.com
46.51.218.82	images.duckduckgo.com
46.51.216.186	help.duckduckgo.com
# DuckDuckGo End
# Startpage Start
37.0.88.36	Startpage.com
37.0.88.36	eu.Startpage.com
37.0.88.36	www.Startpage.com
37.0.88.36	support.Startpage.com
37.0.88.36	blog.Startpage.com
# Startpage End
# Wikipedia Start
198.35.26.96	www.wikipedia.org
198.35.26.112	upload.wikimedia.org
198.35.26.106	bits.wikimedia.org
198.35.26.96	ab.wikipedia.org
198.35.26.96	ace.wikipedia.org
198.35.26.96	af.wikipedia.org
198.35.26.96	ak.wikipedia.org
198.35.26.96	als.wikipedia.org
198.35.26.96	am.wikipedia.org
198.35.26.96	an.wikipedia.org
198.35.26.96	ang.wikipedia.org
198.35.26.96	ar.wikipedia.org
198.35.26.96	arc.wikipedia.org
198.35.26.96	arz.wikipedia.org
198.35.26.96	as.wikipedia.org
198.35.26.96	ast.wikipedia.org
198.35.26.96	av.wikipedia.org
198.35.26.96	ay.wikipedia.org
198.35.26.96	az.wikipedia.org
198.35.26.96	ba.wikipedia.org
198.35.26.96	bar.wikipedia.org
198.35.26.96	bat-smg.wikipedia.org
198.35.26.96	bcl.wikipedia.org
198.35.26.96	bg.wikipedia.org
198.35.26.96	bh.wikipedia.org
198.35.26.96	bi.wikipedia.org
198.35.26.96	bjn.wikipedia.org
198.35.26.96	bm.wikipedia.org
198.35.26.96	bn.wikipedia.org
198.35.26.96	bo.wikipedia.org
198.35.26.96	bpy.wikipedia.org
198.35.26.96	br.wikipedia.org
198.35.26.96	bs.wikipedia.org
198.35.26.96	bug.wikipedia.org
198.35.26.96	bxr.wikipedia.org
198.35.26.96	ca.wikipedia.org
198.35.26.96	cbk-zam.wikipedia.org
198.35.26.96	cdo.wikipedia.org
198.35.26.96	ce.wikipedia.org
198.35.26.96	ceb.wikipedia.org
198.35.26.96	ch.wikipedia.org
198.35.26.96	chr.wikipedia.org
198.35.26.96	chy.wikipedia.org
198.35.26.96	ckb.wikipedia.org
198.35.26.96	co.wikipedia.org
198.35.26.96	cr.wikipedia.org
198.35.26.96	crh.wikipedia.org
198.35.26.96	cs.wikipedia.org
198.35.26.96	csb.wikipedia.org
198.35.26.96	cu.wikipedia.org
198.35.26.96	cv.wikipedia.org
198.35.26.96	cy.wikipedia.org
198.35.26.96	da.wikipedia.org
198.35.26.96	de.wikipedia.org
198.35.26.96	diq.wikipedia.org
198.35.26.96	dsb.wikipedia.org
198.35.26.96	dv.wikipedia.org
198.35.26.96	dz.wikipedia.org
198.35.26.96	ee.wikipedia.org
198.35.26.96	el.wikipedia.org
198.35.26.96	eml.wikipedia.org
198.35.26.96	en.wikipedia.org
198.35.26.96	eo.wikipedia.org
198.35.26.96	es.wikipedia.org
198.35.26.96	et.wikipedia.org
198.35.26.96	eu.wikipedia.org
198.35.26.96	ext.wikipedia.org
198.35.26.96	fa.wikipedia.org
198.35.26.96	ff.wikipedia.org
198.35.26.96	fi.wikipedia.org
198.35.26.96	fiu-vro.wikipedia.org
198.35.26.96	fj.wikipedia.org
198.35.26.96	fo.wikipedia.org
198.35.26.96	fr.wikipedia.org
198.35.26.96	frp.wikipedia.org
198.35.26.96	frr.wikipedia.org
198.35.26.96	fur.wikipedia.org
198.35.26.96	fy.wikipedia.org
198.35.26.96	ga.wikipedia.org
198.35.26.96	gag.wikipedia.org
198.35.26.96	gan.wikipedia.org
198.35.26.96	gd.wikipedia.org
198.35.26.96	gl.wikipedia.org
198.35.26.96	glk.wikipedia.org
198.35.26.96	gn.wikipedia.org
198.35.26.96	got.wikipedia.org
198.35.26.96	gu.wikipedia.org
198.35.26.96	gv.wikipedia.org
198.35.26.96	ha.wikipedia.org
198.35.26.96	hak.wikipedia.org
198.35.26.96	haw.wikipedia.org
198.35.26.96	he.wikipedia.org
198.35.26.96	hi.wikipedia.org
198.35.26.96	hif.wikipedia.org
198.35.26.96	hr.wikipedia.org
198.35.26.96	hsb.wikipedia.org
198.35.26.96	ht.wikipedia.org
198.35.26.96	hu.wikipedia.org
198.35.26.96	hy.wikipedia.org
198.35.26.96	ia.wikipedia.org
198.35.26.96	id.wikipedia.org
198.35.26.96	ie.wikipedia.org
198.35.26.96	ig.wikipedia.org
198.35.26.96	ik.wikipedia.org
198.35.26.96	ilo.wikipedia.org
198.35.26.96	io.wikipedia.org
198.35.26.96	is.wikipedia.org
198.35.26.96	it.wikipedia.org
198.35.26.96	iu.wikipedia.org
198.35.26.96	ja.wikipedia.org
198.35.26.96	ja.wikipedia.org
198.35.26.96	jbo.wikipedia.org
198.35.26.96	jv.wikipedia.org
198.35.26.96	ka.wikipedia.org
198.35.26.96	kaa.wikipedia.org
198.35.26.96	kab.wikipedia.org
198.35.26.96	kbd.wikipedia.org
198.35.26.96	kg.wikipedia.org
198.35.26.96	ki.wikipedia.org
198.35.26.96	kk.wikipedia.org
198.35.26.96	kl.wikipedia.org
198.35.26.96	km.wikipedia.org
198.35.26.96	kn.wikipedia.org
198.35.26.96	ko.wikipedia.org
198.35.26.96	koi.wikipedia.org
198.35.26.96	krc.wikipedia.org
198.35.26.96	ks.wikipedia.org
198.35.26.96	ksh.wikipedia.org
198.35.26.96	ku.wikipedia.org
198.35.26.96	kv.wikipedia.org
198.35.26.96	kw.wikipedia.org
198.35.26.96	ky.wikipedia.org
198.35.26.96	la.wikipedia.org
198.35.26.96	lad.wikipedia.org
198.35.26.96	lb.wikipedia.org
198.35.26.96	lbe.wikipedia.org
198.35.26.96	lez.wikipedia.org
198.35.26.96	lg.wikipedia.org
198.35.26.96	li.wikipedia.org
198.35.26.96	lij.wikipedia.org
198.35.26.96	lmo.wikipedia.org
198.35.26.96	ln.wikipedia.org
198.35.26.96	lo.wikipedia.org
198.35.26.96	lt.wikipedia.org
198.35.26.96	ltg.wikipedia.org
198.35.26.96	lv.wikipedia.org
198.35.26.96	map-bms.wikipedia.org
198.35.26.96	mdf.wikipedia.org
198.35.26.96	mg.wikipedia.org
198.35.26.96	mhr.wikipedia.org
198.35.26.96	mi.wikipedia.org
198.35.26.96	mk.wikipedia.org
198.35.26.96	ml.wikipedia.org
198.35.26.96	mn.wikipedia.org
198.35.26.96	mo.wikipedia.org
198.35.26.96	mr.wikipedia.org
198.35.26.96	mrj.wikipedia.org
198.35.26.96	ms.wikipedia.org
198.35.26.96	mt.wikipedia.org
198.35.26.96	mwl.wikipedia.org
198.35.26.96	my.wikipedia.org
198.35.26.96	myv.wikipedia.org
198.35.26.96	mzn.wikipedia.org
198.35.26.96	na.wikipedia.org
198.35.26.96	nah.wikipedia.org
198.35.26.96	nap.wikipedia.org
198.35.26.96	nds-nl.wikipedia.org
198.35.26.96	nds.wikipedia.org
198.35.26.96	ne.wikipedia.org
198.35.26.96	new.wikipedia.org
198.35.26.96	nov.wikipedia.org
198.35.26.96	nrm.wikipedia.org
198.35.26.96	nso.wikipedia.org
198.35.26.96	nv.wikipedia.org
198.35.26.96	ny.wikipedia.org
198.35.26.96	oc.wikipedia.org
198.35.26.96	om.wikipedia.org
198.35.26.96	or.wikipedia.org
198.35.26.96	os.wikipedia.org
198.35.26.96	pa.wikipedia.org
198.35.26.96	pag.wikipedia.org
198.35.26.96	pam.wikipedia.org
198.35.26.96	pap.wikipedia.org
198.35.26.96	pcd.wikipedia.org
198.35.26.96	pdc.wikipedia.org
198.35.26.96	pfl.wikipedia.org
198.35.26.96	pi.wikipedia.org
198.35.26.96	pih.wikipedia.org
198.35.26.96	pl.wikipedia.org
198.35.26.96	pl.wikipedia.org
198.35.26.96	pms.wikipedia.org
198.35.26.96	pnb.wikipedia.org
198.35.26.96	pnt.wikipedia.org
198.35.26.96	ps.wikipedia.org
198.35.26.96	pt.wikipedia.org
198.35.26.96	pt.wikipedia.org
198.35.26.96	qu.wikipedia.org
198.35.26.96	rm.wikipedia.org
198.35.26.96	rmy.wikipedia.org
198.35.26.96	rn.wikipedia.org
198.35.26.96	ro.wikipedia.org
198.35.26.96	roa-rup.wikipedia.org
198.35.26.96	roa-tara.wikipedia.org
198.35.26.96	ru.wikipedia.org
198.35.26.96	rue.wikipedia.org
198.35.26.96	rw.wikipedia.org
198.35.26.96	sa.wikipedia.org
198.35.26.96	sah.wikipedia.org
198.35.26.96	sc.wikipedia.org
198.35.26.96	scn.wikipedia.org
198.35.26.96	sco.wikipedia.org
198.35.26.96	sd.wikipedia.org
198.35.26.96	se.wikipedia.org
198.35.26.96	sg.wikipedia.org
198.35.26.96	sh.wikipedia.org
198.35.26.96	si.wikipedia.org
198.35.26.96	simple.wikipedia.org
198.35.26.96	sk.wikipedia.org
198.35.26.96	sl.wikipedia.org
198.35.26.96	sm.wikipedia.org
198.35.26.96	sn.wikipedia.org
198.35.26.96	so.wikipedia.org
198.35.26.96	sq.wikipedia.org
198.35.26.96	sr.wikipedia.org
198.35.26.96	srn.wikipedia.org
198.35.26.96	ss.wikipedia.org
198.35.26.96	st.wikipedia.org
198.35.26.96	stq.wikipedia.org
198.35.26.96	su.wikipedia.org
198.35.26.96	sv.wikipedia.org
198.35.26.96	sw.wikipedia.org
198.35.26.96	szl.wikipedia.org
198.35.26.96	ta.wikipedia.org
198.35.26.96	te.wikipedia.org
198.35.26.96	tet.wikipedia.org
198.35.26.96	tg.wikipedia.org
198.35.26.96	th.wikipedia.org
198.35.26.96	ti.wikipedia.org
198.35.26.96	tk.wikipedia.org
198.35.26.96	tl.wikipedia.org
198.35.26.96	tn.wikipedia.org
198.35.26.96	to.wikipedia.org
198.35.26.96	tpi.wikipedia.org
198.35.26.96	tr.wikipedia.org
198.35.26.96	ts.wikipedia.org
198.35.26.96	tt.wikipedia.org
198.35.26.96	tum.wikipedia.org
198.35.26.96	tw.wikipedia.org
198.35.26.96	ty.wikipedia.org
198.35.26.96	udm.wikipedia.org
198.35.26.96	ug.wikipedia.org
198.35.26.96	uk.wikipedia.org
198.35.26.96	ur.wikipedia.org
198.35.26.96	uz.wikipedia.org
198.35.26.96	ve.wikipedia.org
198.35.26.96	vec.wikipedia.org
198.35.26.96	vep.wikipedia.org
198.35.26.96	vi.wikipedia.org
198.35.26.96	vls.wikipedia.org
198.35.26.96	vo.wikipedia.org
198.35.26.96	wa.wikipedia.org
198.35.26.96	war.wikipedia.org
198.35.26.96	wo.wikipedia.org
198.35.26.96	wuu.wikipedia.org
198.35.26.96	xal.wikipedia.org
198.35.26.96	xh.wikipedia.org
198.35.26.96	xmf.wikipedia.org
198.35.26.96	yi.wikipedia.org
198.35.26.96	yo.wikipedia.org
198.35.26.96	za.wikipedia.org
198.35.26.96	zea.wikipedia.org
198.35.26.96	zh-classical.wikipedia.org
198.35.26.96	zh-min-nan.wikipedia.org
198.35.26.96	zh-yue.wikipedia.org
198.35.26.96	zh.wikipedia.org
198.35.26.96	zu.wikipedia.org
198.35.26.96	www.mediawiki.org
198.35.26.96	www.wikibooks.org
198.35.26.96	www.wikidata.org
198.35.26.96	www.wikimedia.org
198.35.26.96	www.wikimediafoundation.org
198.35.26.96	www.wikinews.org
198.35.26.96	www.wikipedia.org
198.35.26.96	www.wikiquote.org
198.35.26.96	www.wikisource.org
198.35.26.96	www.wikiversity.org
198.35.26.96	www.wikivoyage.org
198.35.26.96	www.wiktionary.org
198.35.26.96	m.mediawiki.org
198.35.26.96	m.wikibooks.org
198.35.26.96	m.wikidata.org
198.35.26.96	m.wikimedia.org
198.35.26.96	m.wikimediafoundation.org
198.35.26.96	m.wikinews.org
198.35.26.96	m.wikipedia.org
198.35.26.96	m.wikiquote.org
198.35.26.96	m.wikisource.org
198.35.26.96	m.wikiversity.org
198.35.26.96	m.wikivoyage.org
198.35.26.96	m.wiktionary.org
198.35.26.96	mediawiki.org
198.35.26.96	wikibooks.org
198.35.26.96	wikidata.org
198.35.26.96	wikimedia.org
198.35.26.96	wikimediafoundation.org
198.35.26.96	wikinews.org
198.35.26.96	wikipedia.org
198.35.26.96	wikiquote.org
198.35.26.96	wikisource.org
198.35.26.96	wikiversity.org
198.35.26.96	wikivoyage.org
198.35.26.96	wiktionary.org
91.198.174.192	wikibooks.org
91.198.174.192	www.wikibooks.org
91.198.174.192	en.wikibooks.org
91.198.174.192	es.wikibooks.org
91.198.174.192	zh.wikibooks.org
91.198.174.192	fr.wikibooks.org
91.198.174.192	de.wikibooks.org
91.198.174.192	it.wikibooks.org
91.198.174.192	ja.wikibooks.org
91.198.174.192	wikinews.org
91.198.174.192	www.wikinews.org
91.198.174.192	en.wikinews.org
91.198.174.192	zh.wikinews.org
91.198.174.192	fr.wikinews.org
91.198.174.192	de.wikinews.org
91.198.174.192	es.wikinews.org
91.198.174.192	it.wikinews.org
91.198.174.192	ja.wikinews.org
91.198.174.192	wikiquote.org
91.198.174.192	www.wikiquote.org
91.198.174.192	en.wikiquote.org
91.198.174.192	zh.wikiquote.org
91.198.174.192	fr.wikiquote.org
91.198.174.192	de.wikiquote.org
91.198.174.192	es.wikiquote.org
91.198.174.192	it.wikiquote.org
91.198.174.192	ja.wikiquote.org
91.198.174.192	zh.wikisource.org
91.198.174.192	fr.wikisource.org
91.198.174.192	de.wikisource.org
91.198.174.192	en.wikisource.org
91.198.174.192	it.wikisource.org
91.198.174.192	ja.wikisource.org
91.198.174.192	es.wikisource.org
91.198.174.192	wiktionary.org
91.198.174.192	www.wiktionary.org
91.198.174.192	en.wiktionary.org
91.198.174.192	zh.wiktionary.org
91.198.174.192	fr.wiktionary.org
91.198.174.192	de.wiktionary.org
91.198.174.192	it.wiktionary.org
91.198.174.192	es.wiktionary.org
91.198.174.192	ja.wiktionary.org
91.198.174.192	wikimedia.org
91.198.174.192	www.wikimedia.org
91.198.174.192	commons.wikimedia.org
91.198.174.192	mail.wikimedia.org
91.198.174.192	meta.wikimedia.org
91.198.174.192	wikimediafoundation.org
91.198.174.192	www.wikimediafoundation.org
91.198.174.192	mediawiki.org
91.198.174.192	www.mediawiki.org
208.80.154.241	bugs.wikimedia.org
208.80.154.241	bugzilla.wikimedia.org
208.80.154.241	noc.wikimedia.org
208.80.154.241	stats.wikimedia.org
208.80.154.11	dumps.wikimedia.org
208.80.154.11	download.wikimedia.org
208.80.154.146	ticket.wikimedia.org
91.198.174.208	upload.wikimedia.org
208.80.154.160	irc.wikimedia.org
208.80.154.53	ganglia.wikimedia.org
# Wikipedia End

# Steam Start
203.116.74.208	akacdn.valve.com.edgesuite.net
162.242.173.193	cafe.steampowered.com
1.9.56.42	cdn.akamai.steamstatic.com
203.116.74.208	cdn.steamcommunity.com
203.116.74.208	cdn.steampowered.com
203.116.74.208	cdn.store.steampowered.com
205.196.6.130	client-download.steampowered.com
208.64.200.8	client-download.steampowered.com
162.254.192.20	client-download.steampowered.com
208.64.200.7	client-download.steampowered.com
62.115.37.66	client-download.steampowered.com
205.185.216.10	cloud-2.steampowered.com
173.223.227.17	cloud-3.steampowered.com
183.91.55.125	cloud-4.steampowered.com
205.185.216.10	cloud-2.steamusercontent.com
203.116.74.208	cloud-3.steamusercontent.com
183.91.55.125	cloud-4.steamusercontent.com
183.91.51.125	content2.steampowered.com
205.185.216.10	content3.steampowered.com
117.18.232.131	content4.steampowered.com
54.230.150.32	content5.steampowered.com
54.230.158.221	content5.steampowered.com
54.240.168.25	content5.steampowered.com
69.241.75.182	content6.steampowered.com
173.223.227.56	content8.steampowered.com
125.252.219.235	forums.steampowered.com
1.9.56.17	media.steampowered.com
205.185.216.10	media2.steampowered.com
183.91.51.125	media3.steampowered.com
1.9.56.17	media4.steampowered.com
58.27.86.24	steamcdn-a.akamaihd.net
58.26.1.128	steamcommunity-a.akamaihd.net
23.50.19.235	steamcommunity.com
1.9.56.42	store.akamai.steamstatic.com
23.50.19.235	store.steampowered.com
1.9.56.17	store.valvesoftware.com
23.50.19.235	storefront.steampowered.com
125.252.219.235	support.steampowered.com
117.121.254.253	valve.vo.llnwd.net
# Steam End

# Logmein Start
77.242.192.193 secure.logmein.com
# Logmein End

# Indiegala Start
199.83.135.61	www.indiegala.com
199.83.131.61	www.indiegala.com
199.83.129.61	www.indiegala.com
192.230.67.61	www.indiegala.com
149.126.72.61	www.indiegala.com
185.11.125.61	www.indiegala.com
192.230.66.61	www.indiegala.com
199.83.128.61	www.indiegala.com
199.83.132.61	www.indiegala.com
199.83.134.61	www.indiegala.com
192.230.66.61	www.indiegala.com
149.126.77.61	www.indiegala.com
199.83.135.61	www.indiegala.com
# Indiegala End

# XDA Start
174.129.2.23	cdn.xda-developers.com
192.229.144.96	cdn1.xda-developers.com
192.229.144.96	cdn2.xda-developers.com
192.229.144.96	cdn3.xda-developers.com
192.229.144.96	cdn4.xda-developers.com
192.229.144.96	cdn-img.xda-developers.com
192.229.144.96	cdn-www.xda-developers.com
207.244.72.9	forum.xda-developers.com
117.18.237.203	tags.bkrtx.com
23.32.241.66	m.servebom.com
207.244.73.44	www.xda-developers.com
207.244.73.44	xda-developers.com
# XDA End

# HumbleBundle Start
72.246.188.17	humblebundle-a.akamaihd.net
74.125.34.32	www.humblebundle.com
5.153.35.173	humble.pubnub.com
# HumbleBundle End

# DeviantART Start
110.232.178.146	www.deviantart.com
110.232.178.146	boneyardbrew.deviantart.com
68.232.44.148	a.deviantart.net
68.232.44.148	about.deviantart.com
68.232.44.148	browse.deviantart.com
68.232.44.148	i.deviantart.net
68.232.44.148	shop.deviantart.com
68.232.44.148	st.deviantart.net
68.232.44.148	wallpaper.deviantart.com
72.21.81.40	fc00.deviantart.net
72.21.81.40	fc01.deviantart.net
72.21.81.40	fc02.deviantart.net
72.21.81.40	fc03.deviantart.net
72.21.81.40	fc04.deviantart.net
72.21.81.40	fc05.deviantart.net
72.21.81.40	fc06.deviantart.net
72.21.81.40	fc07.deviantart.net
72.21.81.40	fc08.deviantart.net
72.21.81.40	fc09.deviantart.net
68.232.44.148	th00.deviantart.net
68.232.44.148	th01.deviantart.net
68.232.44.148	th02.deviantart.net
68.232.44.148	th03.deviantart.net
68.232.44.148	th04.deviantart.net
68.232.44.148	th05.deviantart.net
68.232.44.148	th06.deviantart.net
68.232.44.148	th07.deviantart.net
68.232.44.148	th08.deviantart.net
68.232.44.148	th09.deviantart.net
# DeviantART End

# Firefox Start
63.245.216.132	addons.mozilla.org
117.18.232.191	mozorg.cdn.mozilla.net
117.18.232.191	addons.cdn.mozilla.net
117.18.232.191	developer.cdn.mozilla.net
117.18.232.191	fhr.cdn.mozilla.net
117.18.232.191	support.cdn.mozilla.net
117.18.232.191	marketplace.cdn.mozilla.net
117.18.232.191	air.cdn.mozilla.net
117.18.232.191	activations.cdn.mozilla.net
117.18.232.191  download-installer.cdn.mozilla.net
117.18.237.191  getpersonas-cdn.mozilla.net
# Firefox End

# Speedtest Start
110.232.178.82	a.speedtest.net
110.232.178.82	b.speedtest.net
110.232.178.82	d.speedtest.net
110.232.178.82	www.speedtest.net
117.18.232.133	c.speedtest.net
216.146.46.11	speedtest.net
# Speedtest End

# Drupal Start
72.21.91.99	www.drupal.org
72.21.91.99	drupal.org
# Drupal End

# Theatlantic Start
68.232.44.54 www.theatlantic.com
68.232.44.54 theatlantic.com
72.21.91.54 cdn.theatlantic.com
# Theatlantic End

# Edgecast Start
117.18.232.133	edgecastcdn.net
117.18.232.133	www.edgecastcdn.net
110.232.178.193	www.edgecast.com
110.232.178.193	edgecast.com
110.232.178.193	small.edgecast.com
# Edgecast End

#GitHub START
192.30.252.129	github.com
192.30.252.128	www.github.com
192.30.252.141	gist.github.com
192.27.79.133	gist-assets.github.com
192.30.252.147	nodeload.github.com
23.235.47.133	raw.github.com
23.235.47.133	documentcloud.github.com
192.27.79.133	pages.github.com
23.235.47.148	github.global.ssl.fastly.net
23.235.37.133	github.io
199.27.79.133	dingsoung.github.io
#GitHub End
